FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
2.404868995,7.618807468,TRUE,FALSE
2.347093221,2.715107763,TRUE,FALSE
2.931700644,2.210329452,TRUE,FALSE
1.493482965,4.201311801,TRUE,FALSE
3.102952631,2.316650857,TRUE,FALSE
2.000246292,2.623877142,TRUE,FALSE
1.596023448,5.573089235,TRUE,FALSE
0.817597641,5.518049308,TRUE,FALSE
1.863957138,3.675247364,TRUE,FALSE
0.99107965,5.091286086,TRUE,FALSE
0.771299638,9.165537671,TRUE,FALSE
4.874780019,10.64354741,TRUE,FALSE
0.999643448,6.003128105,TRUE,FALSE
0.925064182,8.052846062,TRUE,FALSE
3.56422852,2.145416564,TRUE,FALSE
1.47600556,3.52808882,TRUE,FALSE
3.462654761,2.153802512,TRUE,FALSE
0.717123308,7.271298045,TRUE,FALSE
0.824016443,9.06015092,TRUE,FALSE
1.722679842,5.18834589,TRUE,FALSE
0.651800867,8.266275993,TRUE,FALSE
1.638652714,5.091548522,TRUE,FALSE
0.313954972,6.375020808,TRUE,FALSE
2.879817751,2.445239261,TRUE,FALSE
1.006180719,4.801891999,TRUE,FALSE
1.316778556,3.962741796,TRUE,FALSE
0.992802445,6.54854966,TRUE,FALSE
2.407652488,2.344632219,TRUE,FALSE
2.982543098,2.109092575,TRUE,FALSE
2.302264759,2.684176806,TRUE,FALSE
1.219656339,4.991225553,TRUE,FALSE
1.430412758,4.40974498,TRUE,FALSE
1.573207868,5.067440093,TRUE,FALSE
1.53857111,4.224615588,TRUE,FALSE
1.48623966,4.211113896,TRUE,FALSE
0.538517871,4.907536008,TRUE,FALSE
2.261276585,2.84506734,TRUE,FALSE
2.463800895,3.661864769,TRUE,FALSE
1.284182878,3.119799201,TRUE,FALSE
0.956812372,4.96378938,TRUE,FALSE
1.954289691,3.32251112,TRUE,FALSE
2.958128368,2.680261815,TRUE,FALSE
1.354800092,3.47675179,TRUE,FALSE
2.151311064,2.40018101,TRUE,FALSE
2.128784592,3.258869629,TRUE,FALSE
2.081497332,3.648492246,TRUE,FALSE
0.570814295,4.815307014,TRUE,FALSE
1.523058411,4.803144701,TRUE,FALSE
0.726094713,4.517491363,TRUE,FALSE
2.818213554,2.017163495,TRUE,FALSE
1.28677024,5.203558574,TRUE,FALSE
0.781005107,5.371273015,TRUE,FALSE
0.253538773,5.911400386,TRUE,FALSE
1.704627094,3.044283725,TRUE,FALSE
3.418479666,1.831605148,TRUE,FALSE
1.234328706,3.980650347,TRUE,FALSE
