feature,"PolyA, ng/uL","Os-C, uM"
FALSE,34.52752227,9.10964023
FALSE,34.3696437,9.115539917
FALSE,25.79292476,9.126747721
FALSE,37.38606441,9.133312129
FALSE,32.24316742,9.13494876
FALSE,11.46599224,9.136658316
FALSE,35.4220844,9.140307642
FALSE,35.26028449,9.144384833
FALSE,26.02591836,9.148157862
FALSE,34.47819371,9.162015913
FALSE,26.51795328,9.16305079
FALSE,21.66968263,9.163551728
FALSE,28.0083547,9.165681714
FALSE,32.5215425,9.172728985
FALSE,31.75009456,9.174678451
FALSE,19.63783799,9.176397985
FALSE,37.60804779,9.178754869
FALSE,31.91028381,9.182387464
FALSE,34.91046731,9.190470096
FALSE,23.85597898,9.190958743
FALSE,23.80023117,9.195551738
FALSE,30.18380089,9.195798785
FALSE,35.0172272,9.196551941
FALSE,35.44054801,9.200174454
FALSE,28.6049716,9.206702494
FALSE,21.768253,9.209161673
FALSE,25.72187083,9.209508833
FALSE,10.97615775,9.215377695
FALSE,29.22127279,9.217714214
FALSE,36.59384438,9.218843332
FALSE,23.44305924,9.226128091
FALSE,34.57416618,9.226585729
FALSE,25.34131344,9.233871052
FALSE,13.74143744,9.240734966
FALSE,35.46202899,9.243370115
FALSE,35.26328994,9.251842945
FALSE,19.13602448,9.252409231
FALSE,23.46362096,9.253333954
FALSE,29.45808838,9.253363523
FALSE,14.31135911,9.259814183
FALSE,27.18579465,9.269546237
FALSE,19.52433621,9.271826989
FALSE,32.75515148,9.272977293
FALSE,29.1042789,9.283100475
FALSE,24.24873194,9.288029541
FALSE,25.04584845,9.288648425
FALSE,27.60057265,9.293150365
FALSE,25.25989268,9.295721734
FALSE,32.12345572,9.298188936
FALSE,32.12607294,9.302023881
FALSE,34.63233261,9.303440667
TRUE,14.99204719,9.319987438
FALSE,39.37175645,9.320727266
FALSE,31.14088414,9.32704254
FALSE,31.74253671,9.332771731
FALSE,26.22427131,9.337829677
FALSE,33.69569392,9.341712806
FALSE,25.76059316,9.350042094
FALSE,33.5406292,9.356986337
FALSE,25.98752069,9.357033761
FALSE,33.70998171,9.358886124
FALSE,24.84580143,9.368659219
FALSE,32.37244927,9.37033112
FALSE,19.73161656,9.372266965
FALSE,27.73369031,9.372591095
FALSE,34.61467551,9.37592923
FALSE,36.61458431,9.379823128
FALSE,12.52442026,9.380867674
FALSE,31.83177155,9.393142288
FALSE,25.30816983,9.393428185
FALSE,27.96055671,9.393497873
FALSE,35.95894993,9.395924555
FALSE,25.41142754,9.398764383
FALSE,32.74002325,9.402430144
FALSE,13.71642792,9.406965104
FALSE,22.7591667,9.409858226
FALSE,32.46381871,9.419755685
FALSE,29.19525211,9.423648016
FALSE,31.79687517,9.433264261
FALSE,25.11025222,9.437299746
FALSE,33.33338196,9.438652974
FALSE,25.43327646,9.440106209
FALSE,14.39428585,9.447013411
FALSE,30.13108581,9.44942612
FALSE,34.2962449,9.451077517
FALSE,34.93508995,9.45303651
FALSE,25.80026241,9.455813485
FALSE,31.70654874,9.4618529
FALSE,31.92043568,9.465548378
FALSE,35.96855377,9.46780199
FALSE,26.6786854,9.477971712
FALSE,13.33475072,9.478127826
FALSE,13.52060431,9.482660802
FALSE,34.66702597,9.482991831
FALSE,26.4398155,9.485783961
FALSE,24.67707427,9.489129446
FALSE,11.20469321,9.4907891
FALSE,22.22755035,9.515007757
FALSE,25.44477148,9.517776964
FALSE,27.08366929,9.520858308
FALSE,28.97511502,9.524142851
FALSE,35.96370946,9.525950544
FALSE,24.32747687,9.525992705
FALSE,25.54790595,9.527441142
FALSE,10.09957704,9.532287282
FALSE,11.84200765,9.534005216
FALSE,33.96685916,9.540500851
FALSE,32.9937034,9.540884345
FALSE,29.4856407,9.542256328
FALSE,13.52784633,9.558585524
FALSE,28.96231366,9.568053657
FALSE,26.71850467,9.568308992
FALSE,11.52707581,9.569477942
FALSE,12.92078804,9.5741488
FALSE,23.41474876,9.579943706
FALSE,34.60155278,9.586665086
FALSE,14.01111193,9.589845978
FALSE,37.75041167,9.592270398
FALSE,34.51195096,9.594395294
FALSE,14.74405041,9.601597711
FALSE,23.06826798,9.603972563
FALSE,14.11895836,9.604921398
FALSE,34.55690666,9.605900226
FALSE,30.02407312,9.608130986
FALSE,25.76446092,9.609274471
