NSP2 / uM,NSP5 / uM,feature
4.09631263,5.887929149,TRUE
2.646553325,7.361933561,TRUE
1.683247038,5.246411681,TRUE
2.464419658,4.305425482,TRUE
3.093282778,5.971294215,TRUE
4.533104449,3.932235109,TRUE
1.823760905,5.502242045,TRUE
4.500591269,4.28847023,TRUE
1.989306661,3.686737547,TRUE
2.448970427,5.331763087,TRUE
3.181980404,3.681124775,TRUE
2.296991483,5.976111418,TRUE
0.679043835,6.664178821,TRUE
5.326840686,3.267649199,TRUE
0.823992486,6.600532705,TRUE
1.93638618,4.923014546,TRUE
2.948325339,7.156559405,TRUE
2.283301532,5.957319502,TRUE
2.274466607,3.958603013,TRUE
1.925183205,7.996472021,TRUE
5.05494619,4.889766535,TRUE
1.119058014,7.772725327,TRUE
1.1338563,6.858871312,TRUE
6.121702008,3.430996209,TRUE
1.993413431,7.047625758,TRUE
3.118589718,7.254588014,TRUE
2.294790624,2.81200972,TRUE
2.330935337,5.056615991,TRUE
3.023798706,7.076485591,TRUE
2.066416704,6.78621126,TRUE
1.538772913,7.194627332,TRUE
2.028235256,4.716477962,TRUE
1.025974396,6.806761233,TRUE
3.337987366,6.017744866,TRUE
1.580807695,5.066399107,TRUE
2.208137959,4.360184385,TRUE
1.543918215,6.786936956,TRUE
1.754952923,5.234664016,TRUE
3.578469891,6.761902679,TRUE
1.235488563,5.097108309,TRUE
4.397650232,6.979420172,TRUE
2.070047313,5.513889594,TRUE
5.076238315,3.562957252,TRUE
2.225244793,5.75818955,TRUE
1.260100851,7.313185349,TRUE
1.04182176,7.074894065,TRUE
1.817650492,5.963406236,TRUE
1.818061957,5.976803205,TRUE
3.810398861,7.128686443,TRUE
0.879403336,6.723458466,TRUE
3.984495961,2.023438357,TRUE
1.201211805,6.694759697,TRUE
2.324711792,5.331301552,TRUE
4.194919348,5.664454789,TRUE
2.394240443,7.091864238,TRUE
1.640411505,5.650362369,TRUE
3.101766655,7.270585668,TRUE
2.220806217,5.637858902,TRUE
1.795627152,5.937517868,TRUE
3.512492262,5.889061355,TRUE
3.402579686,5.625765985,TRUE
0.967549441,4.182051423,TRUE
2.237648923,4.734691599,TRUE
0.530433965,5.692649117,TRUE
1.765991162,5.896303926,TRUE
2.0914666,2.863004606,TRUE
1.435642633,6.583103214,TRUE
